timestamp,experiment_name,model_type,optimizer,lr,batch_size,dropout,augmentation,initialization,accuracy,f1_macro,f1_per_class,train_time_sec,epochs_run,best_epoch,num_params,flops,gpu_mem_mb,device,seed,config_file,slurm_job_id
2026-04-03T23:13:48.095923,dataeff_mlp_10k,mlp,adamw,0.001,128,0.3,none,he,0.8646,0.86321,"[0.8156, 0.9794, 0.7702, 0.884, 0.7764, 0.9324, 0.6532, 0.9227, 0.9582, 0.9399]",16.38,22,17,535818,535040,28.6,NVIDIA A40,42,dataeff_mlp_10k.yaml,11115391
2026-04-03T23:14:13.918846,baseline_simple_cnn,simple_cnn,adamw,0.001,128,0.3,none,he,0.9206,0.9212,"[0.8769, 0.9883, 0.8858, 0.9127, 0.8831, 0.9798, 0.7802, 0.9564, 0.9836, 0.9651]",105.18,33,28,207018,1293312,50.1,NVIDIA A100-SXM4-80GB,42,baseline_simple_cnn.yaml,11115389
2026-04-03T23:14:29.348286,ablation_optimizer_sgd,simple_cnn,sgd,0.001,128,0.3,none,he,0.8483,0.84668,"[0.8067, 0.974, 0.7569, 0.8589, 0.7744, 0.9277, 0.5819, 0.9007, 0.9506, 0.9351]",184.61,50,50,207018,1293312,48.5,NVIDIA A100-SXM4-80GB,42,ablation_optimizer_sgd.yaml,11115386
2026-04-03T23:14:57.673215,dataeff_mlp_1k,mlp,adamw,0.001,128,0.3,none,he,0.7974,0.79696,"[0.7561, 0.9578, 0.6767, 0.8335, 0.6858, 0.8707, 0.512, 0.8694, 0.906, 0.9017]",13.6,19,14,535818,535040,28.6,NVIDIA A100-SXM4-80GB,42,dataeff_mlp_1k.yaml,11115392
2026-04-03T23:15:47.709880,dataeff_mlp_5k,mlp,adamw,0.001,128,0.3,none,he,0.8261,0.82673,"[0.7773, 0.9455, 0.7454, 0.8119, 0.7082, 0.9147, 0.5898, 0.9054, 0.9463, 0.9229]",17.51,16,11,535818,535040,28.6,NVIDIA A100-SXM4-80GB,42,dataeff_mlp_5k.yaml,11115394
2026-04-03T23:16:25.716542,dataeff_mlp_50k,mlp,adamw,0.001,128,0.3,none,he,0.8832,0.88298,"[0.827, 0.9819, 0.8173, 0.8833, 0.8269, 0.9456, 0.6919, 0.9391, 0.9697, 0.947]",57.1,19,14,535818,535040,28.6,NVIDIA A100-SXM4-80GB,42,dataeff_mlp_50k.yaml,11115393
2026-04-03T23:16:55.293938,dataeff_simple_cnn_10k,simple_cnn,adamw,0.001,128,0.3,none,he,0.871,0.87052,"[0.8097, 0.9744, 0.7942, 0.8784, 0.7762, 0.9598, 0.668, 0.936, 0.9556, 0.953]",39.6,28,23,207018,1293312,50.1,NVIDIA A100-SXM4-80GB,42,dataeff_simple_cnn_10k.yaml,11115395
2026-04-03T23:17:04.565552,dataeff_simple_cnn_1k,simple_cnn,adamw,0.001,128,0.3,none,he,0.7715,0.77503,"[0.7312, 0.9508, 0.6259, 0.7862, 0.6455, 0.8532, 0.523, 0.8296, 0.8938, 0.9112]",16.65,31,28,207018,1293312,50.1,NVIDIA A40,42,dataeff_simple_cnn_1k.yaml,11115396
2026-04-03T23:17:42.790841,dataeff_simple_cnn_5k,simple_cnn,adamw,0.001,128,0.3,none,he,0.8496,0.8483,"[0.7902, 0.9801, 0.7406, 0.8808, 0.7149, 0.9456, 0.616, 0.9176, 0.9578, 0.9393]",23.12,32,27,207018,1293312,50.1,NVIDIA A40,42,dataeff_simple_cnn_5k.yaml,11115398
2026-04-03T23:18:38.499217,dataeff_simple_cnn_50k,simple_cnn,adamw,0.001,128,0.3,none,he,0.9222,0.92227,"[0.8786, 0.9898, 0.8852, 0.916, 0.8882, 0.978, 0.7755, 0.96, 0.9826, 0.9688]",106.5,33,28,207018,1293312,50.1,NVIDIA A100-SXM4-80GB,42,dataeff_simple_cnn_50k.yaml,11115397
